time,theta1,omega1,theta2,omega2,lensX,lensY
0,5,5,6,6,-7.77817,-0.707107
0.01,5.00174,5.00174,5.94331,5.94331,-7.73932,-0.665787
0.02,5.00349,5.00349,5.77724,5.77724,-7.62313,-0.547125
0.03,4.99531,4.99531,5.51339,5.51339,-7.43077,-0.366333
0.04,4.96218,4.96218,5.16949,5.16949,-7.16417,-0.146591
0.05,4.88605,4.88605,4.76736,4.76736,-6.82599,0.0839291
0.06,4.74842,4.74842,4.33027,4.33027,-6.4196,0.295673
0.07,4.53296,4.53296,3.88031,3.88031,-5.94908,0.461495
0.08,4.22796,4.22796,3.43581,3.43581,-5.41911,0.560134
0.09,3.82823,3.82823,3.00948,3.00948,-4.83499,0.578944
0.1,3.33619,3.33619,2.60714,2.60714,-4.20257,0.515515
0.11,2.76205,2.76205,2.22751,2.22751,-3.52815,0.377978
0.12,2.12305,2.12305,1.86288,1.86288,-2.81848,0.183965
0.13,1.44179,1.44179,1.50069,1.50069,-2.08065,-0.0416482
0.14,0.743944,0.743944,1.12569,1.12569,-1.32203,-0.269938
0.15,0.0555581,0.0555581,0.722551,0.722551,-0.550206,-0.471635
0.16,-0.599627,-0.599627,0.278433,0.278433,0.227119,-0.620882
0.17,-1.20259,-1.20259,-0.2147,-0.2147,1.00217,-0.698543
0.18,-1.74081,-1.74081,-0.758411,-0.758411,1.76722,-0.694663
0.19,-2.20924,-2.20924,-1.34694,-1.34694,2.5146,-0.609738
0.2,-2.6103,-2.6103,-1.96732,-1.96732,3.23686,-0.454656
0.21,-2.95294,-2.95294,-2.60037,-2.60037,3.92678,-0.2493
0.22,-3.2509,-3.2509,-3.22262,-3.22262,4.57746,-0.0199984
0.23,-3.52037,-3.52037,-3.80866,-3.80866,5.18241,0.203852
0.24,-3.77738,-3.77738,-4.33395,-4.33395,5.73558,0.393551
0.25,-4.03522,-4.03522,-4.77736,-4.77736,6.23143,0.524779
0.26,-4.30226,-4.30226,-5.12351,-5.12351,6.66503,0.580711
0.27,-4.58053,-4.58053,-5.36426,-5.36426,7.03203,0.554177
0.28,-4.86503,-4.86503,-5.49942,-5.49942,7.32877,0.448577
0.29,-5.14408,-5.14408,-5.53646,-5.53646,7.55228,0.277452
0.3,-5.40059,-5.40059,-5.48932,-5.48932,7.70033,0.0627401
0.31,-5.61406,-5.61406,-5.37643,-5.37643,7.77145,-0.168031
0.32,-5.76305,-5.76305,-5.21819,-5.21819,7.76491,-0.385276
0.33,-5.82793,-5.82793,-5.03435,-5.03435,7.68079,-0.561141
0.34,-5.79333,-5.79333,-4.84145,-4.84145,7.51993,-0.673081
0.35,-5.65025,-5.65025,-4.65077,-4.65077,7.28392,-0.706742
0.36,-5.39731,-5.39731,-4.46703,-4.46703,6.97514,-0.657811
0.37,-5.04113,-5.04113,-4.28797,-4.28797,6.59667,-0.53256
0.38,-4.59572,-4.59572,-4.10492,-4.10492,6.15228,-0.347047
0.39,-4.08106,-4.08106,-3.9042,-3.9042,5.64643,-0.125056
0.4,-3.52083,-3.52083,-3.66925,-3.66925,5.08415,0.104952
0.41,-2.93986,-2.93986,-3.3832,-3.3832,4.47108,0.313489
0.42,-2.36139,-2.36139,-3.03148,-3.03148,3.81333,0.473819
0.43,-1.80461,-1.80461,-2.60418,-2.60418,3.11749,0.565387
0.44,-1.28272,-1.28272,-2.09794,-2.09794,2.39049,0.576452
0.45,-0.801866,-0.801866,-1.51689,-1.51689,1.63961,0.505597
0.46,-0.360933,-0.360933,-0.872745,-0.872745,0.872342,0.361906
0.47,0.0476866,0.0476866,-0.183962,-0.183962,0.0963612,0.1638
0.48,0.436469,0.436469,0.526019,0.526019,-0.680582,-0.0633215
0.49,0.820516,0.820516,1.23112,1.23112,-1.45073,-0.290341
0.5,1.21497,1.21497,1.90532,1.90532,-2.20637,-0.488152
0.51,1.63241,1.63241,2.52534,2.52534,-2.93998,-0.631395
0.52,2.08066,2.08066,3.07302,3.07302,-3.6442,-0.701705
0.53,2.56111,2.56111,3.53701,3.53701,-4.31202,-0.690067
0.54,3.06798,3.06798,3.91364,3.91364,-4.93675,-0.597974
0.55,3.58851,3.58851,4.20685,4.20685,-5.51216,-0.437233
0.56,4.10407,4.10407,4.42715,4.42715,-6.03249,-0.228452
0.57,4.59205,4.59205,4.58979,4.58979,-6.49254,0.00160321
0.58,5.02835,5.02835,4.71236,4.71236,-6.88773,0.223437
0.59,5.39006,5.39006,4.8122,4.8122,-7.21409,0.408609
0.6,5.65809,5.65809,4.90378,4.90378,-7.46837,0.533379
0.61,5.81934,5.81934,4.99662,4.99662,-7.64803,0.58175
0.62,5.86814,5.86814,5.09382,5.09382,-7.75128,0.547522
0.63,5.80687,5.80687,5.19157,5.19157,-7.77708,0.435082
0.64,5.64555,5.64555,5.27948,5.27948,-7.72517,0.258847
0.65,5.40051,5.40051,5.34195,5.34195,-7.59607,0.0414096
0.66,5.09239,5.09239,5.36017,5.36017,-7.39108,-0.189352
0.67,4.74354,4.74354,5.31468,5.31468,-7.11223,-0.403854
0.68,4.37539,4.37539,5.18799,5.18799,-6.76233,-0.574594
0.69,4.00588,4.00588,4.9671,4.9671,-6.34485,-0.679684
0.7,3.64749,3.64749,4.64543,4.64543,-5.86398,-0.705649
0.71,3.30598,3.30598,4.22403,4.22403,-5.32452,-0.649162
0.72,2.98003,2.98003,3.71183,3.71183,-4.73186,-0.517463
0.73,2.66189,2.66189,3.12496,3.12496,-4.09192,-0.327439
0.74,2.33886,2.33886,2.48516,2.48516,-3.4111,-0.10345
