time,theta1,omega1,theta2,omega2,lensX,lensY
0.76,-4.46453,-4.46453,-0.50969,-0.50969,3.5173,-2.79649
0.77,-4.39376,-4.39376,-0.596762,-0.596762,3.52883,-2.68488
0.78,-4.31425,-4.31425,-0.684586,-0.684586,3.53471,-2.56656
0.79,-4.2262,-4.2262,-0.772949,-0.772949,3.53493,-2.44182
0.8,-4.12985,-4.12985,-0.861628,-0.861628,3.52951,-2.31098
0.81,-4.02541,-4.02541,-0.950399,-0.950399,3.51843,-2.17436
0.82,-3.91315,-3.91315,-1.03903,-1.03903,3.50172,-2.03231
0.83,-3.79334,-3.79334,-1.1273,-1.1273,3.47942,-1.88518
0.84,-3.66626,-3.66626,-1.21496,-1.21496,3.45154,-1.73333
0.85,-3.53221,-3.53221,-1.30178,-1.30178,3.41815,-1.57716
0.86,-3.39151,-3.39151,-1.38752,-1.38752,3.37928,-1.41704
0.87,-3.24448,-3.24448,-1.47194,-1.47194,3.33501,-1.25338
0.88,-3.09147,-3.09147,-1.5548,-1.5548,3.28541,-1.08659
0.89,-2.93281,-2.93281,-1.63587,-1.63587,3.23055,-0.917077
0.9,-2.76889,-2.76889,-1.71491,-1.71491,3.17052,-0.745276
0.91,-2.60005,-2.60005,-1.79167,-1.79167,3.10542,-0.571612
0.92,-2.4267,-2.4267,-1.86593,-1.86593,3.03535,-0.396519
0.93,-2.24921,-2.24921,-1.93746,-1.93746,2.96042,-0.220435
0.94,-2.06798,-2.06798,-2.00604,-2.00604,2.88076,-0.0438005
0.95,-1.88341,-1.88341,-2.07142,-2.07142,2.79649,0.132944
0.96,-1.69592,-1.69592,-2.13342,-2.13342,2.70775,0.309356
0.97,-1.50591,-1.50591,-2.1918,-2.1918,2.61467,0.484994
0.98,-1.3138,-1.3138,-2.24636,-2.24636,2.51742,0.659421
0.99,-1.12001,-1.12001,-2.29692,-2.29692,2.41613,0.832199
1,-0.924954,-0.924954,-2.34326,-2.34326,2.31098,1.0029
1.01,-0.729057,-0.729057,-2.38523,-2.38523,2.20213,1.17109
1.02,-0.532739,-0.532739,-2.42263,-2.42263,2.08976,1.33635
1.03,-0.336419,-0.336419,-2.4553,-2.4553,1.97405,1.49828
1.04,-0.140514,-0.140514,-2.4831,-2.4831,1.85517,1.65646
1.05,0.0545616,0.0545616,-2.50587,-2.50587,1.73333,1.8105
1.06,0.248399,0.248399,-2.52347,-2.52347,1.60872,1.96001
1.07,0.440591,0.440591,-2.5358,-2.5358,1.48153,2.10462
1.08,0.63074,0.63074,-2.54272,-2.54272,1.35198,2.24398
1.09,0.818452,0.818452,-2.54416,-2.54416,1.22026,2.37772
1.1,1.00334,1.00334,-2.54001,-2.54001,1.08659,2.50553
1.11,1.18503,1.18503,-2.5302,-2.5302,0.951176,2.62707
1.12,1.36316,1.36316,-2.51467,-2.51467,0.814244,2.74204
1.13,1.53736,1.53736,-2.49338,-2.49338,0.676009,2.85016
1.14,1.70728,1.70728,-2.46628,-2.46628,0.536694,2.95116
