time,theta1,omega1,theta2,omega2,lensX,lensY
0,5,5,0,0,-3.53553,3.53553
0.01,4.99238,4.99238,0.0013743,0.0013743,-3.53112,3.52917
0.02,4.96953,4.96953,0.00548882,0.00548882,-3.51787,3.51011
0.03,4.93154,4.93154,0.0123185,0.0123185,-3.49583,3.47841
0.04,4.87851,4.87851,0.0218215,0.0218215,-3.46506,3.4342
0.05,4.81062,4.81062,0.0339398,0.0339398,-3.42562,3.37762
0.06,4.72808,4.72808,0.0485992,0.0485992,-3.37762,3.30889
0.07,4.63115,4.63115,0.0657094,0.0657094,-3.32118,3.22826
0.08,4.52014,4.52014,0.0851652,0.0851652,-3.25644,3.136
0.09,4.39539,4.39539,0.106846,0.106846,-3.18356,3.03246
0.1,4.2573,4.2573,0.130617,0.130617,-3.10272,2.918
0.11,4.10629,4.10629,0.156331,0.156331,-3.01413,2.79304
0.12,3.94285,3.94285,0.183825,0.183825,-2.918,2.65803
0.13,3.76749,3.76749,0.212926,0.212926,-2.81458,2.51346
0.14,3.58076,3.58076,0.243448,0.243448,-2.70413,2.35984
0.15,3.38325,3.38325,0.275197,0.275197,-2.58691,2.19772
0.16,3.17557,3.17557,0.307967,0.307967,-2.46323,2.0277
0.17,2.95837,2.95837,0.341543,0.341543,-2.33339,1.85038
0.18,2.73235,2.73235,0.375704,0.375704,-2.19772,1.6664
0.19,2.49819,2.49819,0.410221,0.410221,-2.05656,1.47642
0.2,2.25665,2.25665,0.444861,0.444861,-1.91026,1.28113
0.21,2.00847,2.00847,0.479385,0.479385,-1.75918,1.08123
0.22,1.75443,1.75443,0.513552,0.513552,-1.6037,0.877433
0.23,1.49532,1.49532,0.547117,0.547117,-1.44422,0.670482
0.24,1.23195,1.23195,0.579835,0.579835,-1.28113,0.461117
0.25,0.965149,0.965149,0.611463,0.611463,-1.11483,0.250094
0.26,0.695737,0.695737,0.641757,0.641757,-0.945751,0.03817
0.27,0.424557,0.424557,0.670476,0.670476,-0.774306,-0.173891
0.28,0.152451,0.152451,0.697385,0.697385,-0.600925,-0.385326
0.29,-0.119737,-0.119737,0.722251,0.722251,-0.426042,-0.595375
0.3,-0.391162,-0.391162,0.744848,0.744848,-0.250094,-0.803281
0.31,-0.660986,-0.660986,0.76496,0.76496,-0.0735208,-1.0083
0.32,-0.928373,-0.928373,0.782375,0.782375,0.103236,-1.20968
0.33,-1.1925,-1.1925,0.796895,0.796895,0.279735,-1.40671
0.34,-1.45255,-1.45255,0.808329,0.808329,0.455534,-1.59868
0.35,-1.70773,-1.70773,0.8165,0.8165,0.630195,-1.7849
0.36,-1.95725,-1.95725,0.821243,0.821243,0.803281,-1.96469
0.37,-2.20036,-2.20036,0.822405,0.822405,0.974359,-2.13742
0.38,-2.4363,-2.4363,0.81985,0.81985,1.143,-2.30244
0.39,-2.66436,-2.66436,0.813456,0.813456,1.30879,-2.45919
0.4,-2.88385,-2.88385,0.803117,0.803117,1.4713,-2.60708
0.41,-3.09411,-3.09411,0.788744,0.788744,1.63014,-2.74559
0.42,-3.2945,-3.2945,0.770265,0.770265,1.7849,-2.87422
0.43,-3.48441,-3.48441,0.747626,0.747626,1.9352,-2.9925
0.44,-3.6633,-3.6633,0.720792,0.720792,2.08067,-3.10002
0.45,-3.83061,-3.83061,0.689746,0.689746,2.22093,-3.19638
0.46,-3.98587,-3.98587,0.654492,0.654492,2.35564,-3.28123
0.47,-4.12862,-4.12862,0.61505,0.61505,2.48447,-3.35428
0.48,-4.25843,-4.25843,0.571464,0.571464,2.60708,-3.41525
0.49,-4.37495,-4.37495,0.523794,0.523794,2.72318,-3.46394
0.5,-4.47784,-4.47784,0.472122,0.472122,2.83247,-3.50015
0.51,-4.56682,-4.56682,0.416549,0.416549,2.93468,-3.52377
0.52,-4.64164,-4.64164,0.357195,0.357195,3.02956,-3.53471
0.53,-4.70211,-4.70211,0.294201,0.294201,3.11686,-3.53293
0.54,-4.74809,-4.74809,0.227724,0.227724,3.19638,-3.51843
0.55,-4.77946,-4.77946,0.157943,0.157943,3.2679,-3.49127
0.56,-4.79617,-4.79617,0.0850536,0.0850536,3.33126,-3.45154
0.57,-4.7982,-4.7982,0.0092678,0.0092678,3.38629,-3.3994
0.58,-4.78561,-4.78561,-0.0691839,-0.0691839,3.43286,-3.33501
0.59,-4.75846,-4.75846,-0.150055,-0.150055,3.47084,-3.25863
0.6,-4.71688,-4.71688,-0.233085,-0.233085,3.50015,-3.17052
0.61,-4.66104,-4.66104,-0.317997,-0.317997,3.52071,-3.071
0.62,-4.59117,-4.59117,-0.404502,-0.404502,3.53248,-2.96042
0.63,-4.50753,-4.50753,-0.492297,-0.492297,3.53541,-2.8392
0.64,-4.41041,-4.41041,-0.581069,-0.581069,3.52951,-2.70775
0.65,-4.30015,-4.30015,-0.670493,-0.670493,3.51478,-2.56656
0.66,-4.17716,-4.17716,-0.760237,-0.760237,3.49127,-2.41613
0.67,-4.04185,-4.04185,-0.84996,-0.84996,3.45903,-2.25701
0.68,-3.89468,-3.89468,-0.939312,-0.939312,3.41815,-2.08976
0.69,-3.73615,-3.73615,-1.02794,-1.02794,3.36872,-1.91499
0.7,-3.56679,-3.56679,-1.11549,-1.11549,3.31087,-1.73333
0.71,-3.38717,-3.38717,-1.2016,-1.2016,3.24475,-1.54544
0.72,-3.19789,-3.19789,-1.2859,-1.2859,3.17052,-1.35198
0.73,-2.99956,-2.99956,-1.36805,-1.36805,3.08836,-1.15365
0.74,-2.79283,-2.79283,-1.44767,-1.44767,2.99849,-0.951176
0.75,-2.57839,-2.57839,-1.52441,-1.52441,2.90112,-0.745276
0.76,-2.35692,-2.35692,-1.59792,-1.59792,2.79649,-0.536694
0.77,-2.12914,-2.12914,-1.66785,-1.66785,2.68488,-0.32618
0.78,-1.89579,-1.89579,-1.73387,-1.73387,2.56656,-0.114492
0.79,-1.65761,-1.65761,-1.79565,-1.79565,2.44182,0.0976073
0.8,-1.41536,-1.41536,-1.85286,-1.85286,2.31098,0.309356
0.81,-1.16982,-1.16982,-1.90519,-1.90519,2.17436,0.519991
0.82,-0.921753,-0.921753,-1.95237,-1.95237,2.03231,0.728754
0.83,-0.671951,-0.671951,-1.99409,-1.99409,1.88518,0.934895
0.84,-0.421197,-0.421197,-2.03011,-2.03011,1.73333,1.13767
0.85,-0.170274,-0.170274,-2.06016,-2.06016,1.57716,1.33635
0.86,0.0800349,0.0800349,-2.08403,-2.08403,1.41704,1.53023
0.87,0.328955,0.328955,-2.1015,-2.1015,1.25338,1.71859
0.88,0.575716,0.575716,-2.11238,-2.11238,1.08659,1.90077
0.89,0.819561,0.819561,-2.1165,-2.1165,0.917077,2.07611
0.9,1.05974,1.05974,-2.11372,-2.11372,0.745276,2.24398
0.91,1.29553,1.29553,-2.10391,-2.10391,0.571612,2.40377
0.92,1.52621,1.52621,-2.08698,-2.08698,0.396519,2.55491
