time,theta1,omega1,theta2,omega2,lensX,lensY
2.739,3.34752,3.34752,-3.34752,-3.34752,0,4.73411
2.772,2.70679,2.70679,-2.70679,-2.70679,0,3.82798
2.805,1.99563,1.99563,-1.99563,-1.99563,0,2.82224
2.838,1.23253,1.23253,-1.23253,-1.23253,0,1.74306
2.871,0.43736,0.43736,-0.43736,-0.43736,0,0.61852
2.904,-0.369191,-0.369191,0.369191,0.369191,0,-0.522115
2.937,-1.16614,-1.16614,1.16614,1.16614,0,-1.64916
2.97,-1.93273,-1.93273,1.93273,1.93273,0,-2.7333
3.003,-2.64904,-2.64904,2.64904,2.64904,0,-3.74631
3.036,-3.29641,-3.29641,3.29641,3.29641,0,-4.66183
3.069,-3.858,-3.858,3.858,3.858,0,-5.45604
3.102,-4.3192,-4.3192,4.3192,4.3192,0,-6.10827
3.135,-4.668,-4.668,4.668,4.668,0,-6.60155
3.168,-4.89533,-4.89533,4.89533,4.89533,0,-6.92304
3.201,-4.99527,-4.99527,4.99527,4.99527,0,-7.06438
3.234,-4.96523,-4.96523,4.96523,4.96523,0,-7.02189
3.267,-4.80598,-4.80598,4.80598,4.80598,0,-6.79668
3.3,-4.52166,-4.52166,4.52166,4.52166,0,-6.3946
3.333,-4.11969,-4.11969,4.11969,4.11969,0,-5.82612
3.366,-3.61051,-3.61051,3.61051,3.61051,0,-5.10603
3.399,-3.00737,-3.00737,3.00737,3.00737,0,-4.25307
3.432,-2.32598,-2.32598,2.32598,2.32598,0,-3.28943
3.465,-1.58406,-1.58406,1.58406,1.58406,0,-2.2402
3.498,-0.800919,-0.800919,0.800919,0.800919,0,-1.13267
3.531,0.00306313,0.00306313,-0.00306313,-0.00306313,0,0.00433191
3.564,0.806965,0.806965,-0.806965,-0.806965,0,1.14122
3.597,1.58987,1.58987,-1.58987,-1.58987,0,2.24841
3.63,2.3314,2.3314,-2.3314,-2.3314,0,3.2971
3.663,3.01226,3.01226,-3.01226,-3.01226,0,4.25998
3.696,3.61474,3.61474,-3.61474,-3.61474,0,5.11202
3.729,4.12315,4.12315,-4.12315,-4.12315,0,5.83102
3.762,4.52427,4.52427,-4.52427,-4.52427,0,6.39829
3.795,4.80766,4.80766,-4.80766,-4.80766,0,6.79906
3.828,4.96595,4.96595,-4.96595,-4.96595,0,7.02291
3.861,4.995,4.995,-4.995,-4.995,0,7.064
3.894,4.89408,4.89408,-4.89408,-4.89408,0,6.92127
3.927,4.6658,4.6658,-4.6658,-4.6658,0,6.59844
3.96,4.31611,4.31611,-4.31611,-4.31611,0,6.1039
3.993,3.8541,3.8541,-3.8541,-3.8541,0,5.45052
4.026,3.2918,3.2918,-3.2918,-3.2918,0,4.65531
4.059,2.64384,2.64384,-2.64384,-2.64384,0,3.73896
4.092,1.92708,1.92708,-1.92708,-1.92708,0,2.72531
4.125,1.16018,1.16018,-1.16018,-1.16018,0,1.64074
4.158,0.363082,0.363082,-0.363082,-0.363082,0,0.513475
4.191,-0.443462,-0.443462,0.443462,0.443462,0,-0.627151
4.224,-1.23847,-1.23847,1.23847,1.23847,0,-1.75146
4.257,-2.00124,-2.00124,2.00124,2.00124,0,-2.83018
4.29,-2.71194,-2.71194,2.71194,2.71194,0,-3.83527
4.323,-3.35207,-3.35207,3.35207,3.35207,0,-4.74054
4.356,-3.90497,-3.90497,3.90497,3.90497,0,-5.52246
4.389,-4.35626,-4.35626,4.35626,4.35626,0,-6.16068
4.422,-4.69418,-4.69418,4.69418,4.69418,0,-6.63858
4.455,-4.90995,-4.90995,4.90995,4.90995,0,-6.94372
4.488,-4.99796,-4.99796,4.99796,4.99796,0,-7.06818
4.521,-4.9559,-4.9559,4.9559,4.9559,0,-7.00871
4.554,-4.78489,-4.78489,4.78489,4.78489,0,-6.76685
4.587,-4.48936,-4.48936,4.48936,4.48936,0,-6.34891
4.62,-4.077,-4.077,4.077,4.077,0,-5.76575
4.653,-3.55856,-3.55856,3.55856,3.55856,0,-5.03256
4.686,-2.94751,-2.94751,2.94751,2.94751,0,-4.16841
4.719,-2.25976,-2.25976,2.25976,2.25976,0,-3.19578
4.752,-1.51321,-1.51321,1.51321,1.51321,0,-2.14
4.785,-0.727277,-0.727277,0.727277,0.727277,0,-1.02852
4.818,0.0775782,0.0775782,-0.0775782,-0.0775782,0,0.109712
4.851,0.880414,0.880414,-0.880414,-0.880414,0,1.24509
4.884,1.66034,1.66034,-1.66034,-1.66034,0,2.34808
4.917,2.39706,2.39706,-2.39706,-2.39706,0,3.38996
4.95,3.0714,3.0714,-3.0714,-3.0714,0,4.34362
4.983,3.66582,3.66582,-3.66582,-3.66582,0,5.18426
5.016,4.16485,4.16485,-4.16485,-4.16485,0,5.88998
5.049,4.55549,4.55549,-4.55549,-4.55549,0,6.44244
5.082,4.8276,4.8276,-4.8276,-4.8276,0,6.82725
5.115,4.97408,4.97408,-4.97408,-4.97408,0,7.03441
5.148,4.99112,4.99112,-4.99112,-4.99112,0,7.05851
5.181,4.87828,4.87828,-4.87828,-4.87828,0,6.89893
5.214,4.6385,4.6385,-4.6385,-4.6385,0,6.55983
5.247,4.27801,4.27801,-4.27801,-4.27801,0,6.05002
5.28,3.8062,3.8062,-3.8062,-3.8062,0,5.38278
5.313,3.23535,3.23535,-3.23535,-3.23535,0,4.57547
5.346,2.5803,2.5803,-2.5803,-2.5803,0,3.6491
5.379,1.85811,1.85811,-1.85811,-1.85811,0,2.62776
5.412,1.08757,1.08757,-1.08757,-1.08757,0,1.53805
5.445,0.288723,0.288723,-0.288723,-0.288723,0,0.408315
5.478,-0.517635,-0.517635,0.517635,0.517635,0,-0.732046
5.511,-1.31052,-1.31052,1.31052,1.31052,0,-1.85336
5.544,-2.06931,-2.06931,2.06931,2.06931,0,-2.92644
5.577,-2.77424,-2.77424,2.77424,2.77424,0,-3.92337
5.61,-3.40699,-3.40699,3.40699,3.40699,0,-4.81821
5.643,-3.95108,-3.95108,3.95108,3.95108,0,-5.58767
5.676,-4.39235,-4.39235,4.39235,4.39235,0,-6.21172
5.709,-4.71932,-4.71932,4.71932,4.71932,0,-6.67413
5.742,-4.92349,-4.92349,4.92349,4.92349,0,-6.96286
5.775,-4.99953,-4.99953,4.99953,4.99953,0,-7.07041
5.808,-4.94548,-4.94548,4.94548,4.94548,0,-6.99396
5.841,-4.76273,-4.76273,4.76273,4.76273,0,-6.73552
5.874,-4.45605,-4.45605,4.45605,4.45605,0,-6.30181
5.907,-4.03341,-4.03341,4.03341,4.03341,0,-5.70411
5.94,-3.50582,-3.50582,3.50582,3.50582,0,-4.95797
5.973,-2.88699,-2.88699,2.88699,2.88699,0,-4.08282
6.006,-2.19304,-2.19304,2.19304,2.19304,0,-3.10142
6.039,-1.44202,-1.44202,1.44202,1.44202,0,-2.03932
6.072,-0.653473,-0.653473,0.653473,0.653473,0,-0.92415
6.105,0.152076,0.152076,-0.152076,-0.152076,0,0.215068
6.138,0.953668,0.953668,-0.953668,-0.953668,0,1.34869
6.171,1.73044,1.73044,-1.73044,-1.73044,0,2.44722
6.204,2.46219,2.46219,-2.46219,-2.46219,0,3.48206
6.237,3.12986,3.12986,-3.12986,-3.12986,0,4.42629
6.27,3.71609,3.71609,-3.71609,-3.71609,0,5.25534
6.303,4.20562,4.20562,-4.20562,-4.20562,0,5.94764
6.336,4.5857,4.5857,-4.5857,-4.5857,0,6.48516
6.369,4.84646,4.84646,-4.84646,-4.84646,0,6.85393
6.402,4.9811,4.9811,-4.9811,-4.9811,0,7.04434
6.435,4.98612,4.98612,-4.98612,-4.98612,0,7.05144
6.468,4.8614,4.8614,-4.8614,-4.8614,0,6.87505
6.501,4.61016,4.61016,-4.61016,-4.61016,0,6.51976
6.534,4.23897,4.23897,-4.23897,-4.23897,0,5.9948
6.567,3.75746,3.75746,-3.75746,-3.75746,0,5.31385
6.6,3.17818,3.17818,-3.17818,-3.17818,0,4.49462
6.633,2.51619,2.51619,-2.51619,-2.51619,0,3.55843
6.666,1.78872,1.78872,-1.78872,-1.78872,0,2.52964
6.699,1.01471,1.01471,-1.01471,-1.01471,0,1.43502
6.732,0.214299,0.214299,-0.214299,-0.214299,0,0.303065
6.765,-0.591692,-0.591692,0.591692,0.591692,0,-0.836779
